Seed,Spawn_Strategy,Initial_Drones_XY,Goal_X,Goal_Y,Optimal_Tick,Used_Tick,Map_Coverage_%,Spawn_Fail_Count,Backtrack_Count,Total_Spawned,Success
883878,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",24,1,9,10,28.42,67,24,32,True
513594,1,"[(15, 15)]",11,24,203,204,52.54,0,0,66,True
513594,2,"[(7, 15), (23, 15)]",11,24,37,38,25.78,0,0,33,True
513594,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",11,24,59,60,71.48,0,0,108,True
513594,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",11,24,1,2,2.93,0,0,19,True
513594,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",11,24,15,16,43.85,47,17,43,True
513594,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",11,24,13,38,67.58,137,158,32,True
373565,1,"[(15, 15)]",20,18,124,125,39.16,0,0,38,True
373565,2,"[(7, 15), (23, 15)]",20,18,186,187,84.77,0,0,86,True
373565,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",20,18,48,49,48.73,0,0,77,True
373565,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",20,18,28,29,50.59,0,0,68,True
